date,ID,Label,Area,Mean,Mode,Min,Max,IntDen,Median,RawIntDen,type,line,notes
12_22_17,36,SUM_N2_daf28Cy5_25_tube2-09.czi,7.128,1262.638,1272.893,1142,1393,8999.662,1265,858594,cell,,
12_22_17,37,SUM_N2_daf28Cy5_25_tube2-09.czi,1.143,1023.853,1024.92,993,1052,1169.776,1024,111600,background,,
12_22_17,38,SUM_N2_daf28Cy5_25_tube2-10.czi,7.914,1277.726,1290.646,1158,1393,10111.672,1282,964683,cell,,
12_22_17,39,SUM_N2_daf28Cy5_25_tube2-10.czi,1.289,1023.65,1017.93,1003,1055,1319.76,1024,125909,background,,
12_22_17,40,SUM_N2_daf28Cy5_25_tube2-11.czi,9.57,1328.171,1332.533,1157,1504,12710.512,1330,1212620,cell,,
12_22_17,41,SUM_N2_daf28Cy5_25_tube2-11.czi,0.839,1030.375,1031.023,1010,1046,864.02,1031.5,82430,background,,
12_22_17,42,SUM_N2_daf28Cy5_25_tube2-12.czi,6.31,1158.56,1149.799,1086,1225,7310.604,1160,697453,cell,,
12_22_17,43,SUM_N2_daf28Cy5_25_tube2-12.czi,0.419,1030.075,1034.01,1011,1044,431.884,1032,41203,background,,
12_22_17,44,SUM_N2_daf28Cy5_25_tube2-14.czi,9.937,1178.756,1156.881,1074,1281,11713.069,1172,1117461,cell,,
12_22_17,45,SUM_N2_daf28Cy5_25_tube2-14.czi,1.646,1032.987,1031.006,1007,1058,1699.937,1033,162179,background,,
12_22_17,46,SUM_N2_daf28Cy5_25_tube2-20.czi,8.71,1034.574,1033.111,994,1069,9011.579,1034,859731,cell,,
12_22_17,47,SUM_N2_daf28Cy5_25_tube2-20.czi,0.252,1011.083,1015.928,993,1032,254.353,1012,24266,background,,
12_22_17,48,SUM_N2_daf28Cy5_25_tube2.czi,11.918,1206.909,1191.318,1088,1317,14383.794,1203,1372256,cell,,
12_22_17,49,SUM_N2_daf28Cy5_25_tube2.czi,0.377,1037.333,1019.059,1016,1070,391.435,1035.5,37344,background,,
12_22_17,50,SUM_N2_daf28Cy5_27_tube1-02.czi,6.079,1256.091,1248.469,1130,1402,7636.38,1248,728533,cell,,
12_22_17,51,SUM_N2_daf28Cy5_27_tube1-02.czi,0.818,1034.167,1035.945,1013,1057,845.519,1035,80665,background,,
12_22_17,52,SUM_N2_daf28Cy5_27_tube1-03.czi,6.383,1189.933,1162.004,1106,1268,7595.879,1184,724669,cell,,
12_22_17,53,SUM_N2_daf28Cy5_27_tube1-03.czi,0.461,1046.705,1042.006,1021,1066,482.742,1047.5,46055,background,,
12_22_17,54,SUM_N2_daf28Cy5_27_tube1-04.czi,14.098,1084.089,1088.076,1030,1125,15283.599,1085,1458100,cell,,
12_22_17,55,SUM_N2_daf28Cy5_27_tube1-04.czi,1.08,1038.301,1039.029,1014,1069,1120.982,1038,106945,background,,
12_22_17,56,SUM_N2_daf28Cy5_27_tube1-05.czi,9.769,1050.311,1049.951,1014,1093,10260.587,1050,978890,cell,,
12_22_17,57,SUM_N2_daf28Cy5_27_tube1-05.czi,2.044,1015.303,1014.018,987,1040,2075.24,1015,197984,background,,
12_22_17,58,SUM_N2_daf28Cy5_27_tube1-06.czi,14.329,1045.079,1037.992,1006,1090,14974.625,1045,1428623,cell,,
12_22_17,59,SUM_N2_daf28Cy5_27_tube1-06.czi,0.388,1026.108,1035.014,1001,1046,397.954,1028,37966,background,,
12_22_17,60,SUM_N2_daf28Cy5_27_tube1-07.czi,4.098,1067.496,1061.074,1030,1116,4375.034,1066,417391,cell,,
12_22_17,61,SUM_N2_daf28Cy5_27_tube1-07.czi,1.237,1020.449,1014.045,1000,1047,1262.152,1020,120413,background,,
12_22_17,62,SUM_N2_daf28Cy5_27_tube1-09.czi,8.207,1154.055,1139.777,1068,1278,9471.67,1149,903625,cell,,
12_22_17,63,SUM_N2_daf28Cy5_27_tube1-09.czi,1.646,999.025,995.002,975,1024,1644.048,999,156847,background,,
12_22_17,64,SUM_N2_daf28Cy5_27_tube1-10.czi,7.914,1158.509,1149.836,1066,1262,9168.21,1156,874674,cell,,
12_22_17,65,SUM_N2_daf28Cy5_27_tube1-10.czi,0.755,1009.694,997.918,982,1032,762.01,1010,72698,background,,
12_22_17,66,SUM_N2_daf28Cy5_27_tube1-11.czi,16.383,1055.614,1051.143,1011,1104,17294.271,1055,1649924,cell,,
12_22_17,67,SUM_N2_daf28Cy5_27_tube1-11.czi,0.493,1023.617,1018.996,1003,1045,504.282,1023,48110,background,,
12_22_17,68,SUM_N2_daf28Cy5_27_tube1-12.czi,12.746,1050.867,1048.006,1006,1113,13394.286,1049,1277854,cell,,
12_22_17,69,SUM_N2_daf28Cy5_27_tube1-12.czi,0.629,1014.917,1014.928,992,1035,638.293,1015,60895,background,,
12_22_17,70,SUM_N2_daf28Cy5_27_tube1-13.czi,14.014,1058.568,1057.959,1016,1109,14835.028,1058,1415305,cell,,
12_22_17,71,SUM_N2_daf28Cy5_27_tube1-13.czi,0.765,1016.315,1011.012,996,1038,777.66,1015,74191,background,,
12_22_17,72,SUM_N2_daf28Cy5_27_tube1-14.czi,15.513,1044.022,1040.855,1002,1100,16196.066,1043,1545152,cell,,
12_22_17,73,SUM_N2_daf28Cy5_27_tube1-14.czi,0.535,1001.784,1002.023,982,1026,535.529,1001,51091,background,,
12_22_17,74,SUM_N2_daf28Cy5_27_tube1-15.czi,10.293,1059.855,1053.951,1013,1100,10909.289,1060,1040778,cell,,
12_22_17,75,SUM_N2_daf28Cy5_27_tube1-15.czi,0.472,1036.867,1046.939,1018,1051,489.073,1038,46659,background,,
12_22_17,76,SUM_N2_daf28Cy5_27_tube1-16.czi,13.584,1091.664,1098.156,1018,1162,14829.693,1095,1414796,cell,,
12_22_17,77,SUM_N2_daf28Cy5_27_tube1-16.czi,0.356,1022.471,1020.012,1006,1040,364.391,1020.5,34764,background,,
12_22_17,78,SUM_N2_daf28Cy5_27_tube1-18.czi,7.568,1032.055,1024.941,993,1067,7810.495,1032,745144,cell,,
12_22_17,79,SUM_N2_daf28Cy5_27_tube1-18.czi,0.293,1003.214,1001.955,987,1018,294.435,1003,28090,background,,
12_22_17,80,SUM_N2_daf28Cy5_27_tube1-19.czi,8.438,1085.826,1091.109,1032,1136,9162.088,1087,874090,cell,,
12_22_17,81,SUM_N2_daf28Cy5_27_tube1-19.czi,1.53,1011.767,1011.045,988,1045,1548.359,1011,147718,background,,
12_22_17,82,SUM_N2_daf28Cy5_27_tube1-20.czi,9.759,1177.626,1182.893,1053,1288,11491.996,1179,1096370,cell,,
12_22_17,83,SUM_N2_daf28Cy5_27_tube1-20.czi,3.228,1009.617,1006.018,988,1033,3259.46,1009,310962,background,,
12_22_17,84,SUM_N2_daf28Cy5_27_tube1-21.czi,6.614,1158.189,1147.971,1076,1249,7660.321,1156,730817,cell,,
12_22_17,85,SUM_N2_daf28Cy5_27_tube1-21.czi,0.87,1024.145,1021.072,1001,1044,891,1024,85004,background,,
12_22_17,86,SUM_N2_daf28Cy5_27_tube1-22.czi,10.325,1153.04,1149.773,1041,1293,11904.709,1150,1135744,cell,,
12_22_17,87,SUM_N2_daf28Cy5_27_tube1-22.czi,1.52,1017.497,1008.041,987,1044,1546.462,1018,147537,background,,
12_22_17,88,SUM_N2_daf28Cy5_27_tube1-23.czi,9.853,1068.154,1063.143,1020,1131,10524.468,1067,1004065,cell,,
12_22_17,89,SUM_N2_daf28Cy5_27_tube1-23.czi,0.744,1016.662,1010.98,994,1040,756.612,1016,72183,background,,
12_22_17,90,SUM_N2_daf28Cy5_27_tube1-24.czi,9.088,1056.024,1047.141,1020,1092,9596.907,1056,915573,cell,,
12_22_17,91,SUM_N2_daf28Cy5_27_tube1-24.czi,1.509,1019.444,1021.943,998,1039,1538.737,1019,146800,background,,
12_22_17,92,SUM_N2_daf28Cy5_27_tube1-25.czi,12.977,1173.666,1202.822,1060,1255,15230.131,1178,1452999,cell,,
12_22_17,93,SUM_N2_daf28Cy5_27_tube1-25.czi,0.901,1049.372,1041.941,1027,1077,945.946,1049,90246,background,,
12_22_17,94,SUM_N2_daf28Cy5_27_tube1-26.czi,6.111,1080.858,1072.141,1040,1128,6605.039,1080,630140,cell,,
12_22_17,95,SUM_N2_daf28Cy5_27_tube1-26.czi,1.75,1025.461,1022.998,992,1051,1795.039,1025,171252,background,,
12_22_17,96,SUM_N2_daf28Cy5_27_tube1.czi,6.97,1063.146,1066.877,1021,1104,7410.591,1063,706992,cell,,
12_22_17,97,SUM_N2_daf28Cy5_27_tube1.czi,1.352,1012.496,1015.951,985,1038,1369.057,1013,130612,background,,
12_22_17,98,SUM_N2_daf28Cy5_27_tube2-02.czi,9.675,1063.498,1065.879,1027,1101,10289.088,1064,981609,cell,,
12_22_17,99,SUM_N2_daf28Cy5_27_tube2-02.czi,1.677,1030.094,1031.951,1006,1049,1727.568,1031,164815,background,,
12_22_17,100,SUM_N2_daf28Cy5_27_tube2-03.czi,13.836,1044.561,1043.936,1001,1090,14452.608,1045,1378821,cell,,
12_22_17,101,SUM_N2_daf28Cy5_27_tube2-03.czi,0.692,1006.742,1008.008,983,1027,696.467,1007.5,66445,background,,
12_22_17,102,SUM_N2_daf28Cy5_27_tube2-04.czi,9.214,1273.809,1254.506,1121,1400,11736.307,1279,1119678,cell,,
12_22_17,103,SUM_N2_daf28Cy5_27_tube2-04.czi,1.331,1022.197,1031.994,994,1043,1360.745,1023,129819,background,,
12_22_17,104,SUM_N2_daf28Cy5_27_tube2-07.czi,7.212,1039.487,1039.986,994,1079,7496.28,1039,715167,cell,,
12_22_17,105,SUM_N2_daf28Cy5_27_tube2-07.czi,1.226,993.53,996.943,973,1014,1218.443,993,116243,background,,
12_22_17,106,SUM_N2_daf28Cy5_27_tube2-08.czi,8.511,1064.679,1059.143,1013,1118,9061.767,1064,864519,cell,,
12_22_17,107,SUM_N2_daf28Cy5_27_tube2-08.czi,1.866,1015.826,1014.916,993,1042,1895.298,1016,180817,background,,
12_22_17,108,SUM_N2_daf28Cy5_27_tube2-09.czi,6.981,1098.371,1093.01,1046,1159,7667.637,1098,731515,cell,,
12_22_17,109,SUM_N2_daf28Cy5_27_tube2-09.czi,1.111,1039.509,1031.008,1011,1063,1154.975,1039,110188,background,,
12_22_17,110,SUM_N2_daf28Cy5_27_tube2-10.czi,6.698,1059.335,1045.98,1023,1097,7095.328,1058,676915,cell,,
12_22_17,111,SUM_N2_daf28Cy5_27_tube2-10.czi,1.467,1020.579,1016.064,997,1040,1497.659,1021,142881,background,,
12_22_17,112,SUM_N2_daf28Cy5_25_tube1-11.czi,9.088,1263.918,1234.797,1168,1368,11486.2,1260,1095817,cell,,
12_22_17,113,SUM_N2_daf28Cy5_25_tube1-11.czi,0.367,1032.086,1025.045,1015,1052,378.636,1032,36123,background,,
12_22_17,114,SUM_N2_daf28Cy5_27_tube2-12.czi,9.203,1159.867,1170.137,1073,1235,10674.338,1162,1018363,cell,,
12_22_17,115,SUM_N2_daf28Cy5_27_tube2-12.czi,0.514,1022.327,1025.979,1004,1035,525.078,1024,50094,background,,
12_22_17,116,SUM_N2_daf28Cy5_27_tube2-14.czi,9.947,1040.772,1042.881,991,1092,10352.859,1041,987693,cell,,
12_22_17,117,SUM_N2_daf28Cy5_27_tube2-14.czi,0.891,1016.459,1009.93,993,1037,905.622,1017,86399,background,,
12_22_17,118,SUM_N2_daf28Cy5_27_tube2-15.czi,7.044,1088.85,1094.805,1033,1141,7669.65,1090,731707,cell,,
12_22_17,119,SUM_N2_daf28Cy5_27_tube2-15.czi,0.65,1021.323,1019.082,1003,1049,663.732,1021,63322,background,,
12_22_17,120,SUM_N2_daf28Cy5_27_tube2-16.czi,9.056,1074.157,1072.918,1025,1119,9727.92,1074,928072,cell,,
12_22_17,121,SUM_N2_daf28Cy5_27_tube2-16.czi,1.677,1024.938,1020.094,1005,1053,1718.92,1024,163990,background,,
12_22_17,122,SUM_N2_daf28Cy5_27_tube2-17.czi,7.191,1098.2,1090.131,1031,1204,7896.666,1098.5,753365,cell,,
12_22_17,123,SUM_N2_daf28Cy5_27_tube2-17.czi,0.545,1013.231,1009.961,992,1036,552.268,1013,52688,background,,
12_22_17,124,SUM_N2_daf28Cy5_27_tube2-18.czi,8.742,1132.084,1145.137,1048,1210,9896.531,1135,944158,cell,,
12_22_17,125,SUM_N2_daf28Cy5_27_tube2-18.czi,0.828,1015.241,1014.998,987,1034,840.687,1015,80204,background,,
12_22_17,126,SUM_N2_daf28Cy5_27_tube2-19.czi,8.459,1105.664,1134.072,1025,1178,9352.659,1109,892271,cell,,
12_22_17,127,SUM_N2_daf28Cy5_27_tube2-19.czi,0.639,1001.77,994.963,978,1023,640.525,1002,61108,background,,
12_22_17,128,SUM_N2_daf28Cy5_27_tube2-20.czi,9.58,1057.819,1049.102,1009,1125,10134.354,1055,966847,cell,,
12_22_17,133,SUM_N2_daf28Cy5_27_tube2-20.czi,1.446,1012.406,1012.049,987,1044,1464.442,1012,139712,background,,
12_22_17,129,SUM_N2_daf28Cy5_27_tube2-21.czi,7.232,1044.364,1046.17,997,1092,7553.343,1045,720611,cell,,
12_22_17,130,SUM_N2_daf28Cy5_27_tube2-21.czi,0.398,1006.684,1013.053,990,1027,400.973,1006.5,38254,background,,
12_22_17,131,SUM_N2_daf28Cy5_27_tube2.czi,8.868,1057.888,1057.059,1007,1117,9380.981,1057,894973,cell,,
12_22_17,132,SUM_N2_daf28Cy5_27_tube2.czi,1.436,1013.606,1011.945,983,1035,1455.553,1014,138864,background,,
12_21_17,134,SUM_N2_daf7Cy5_25_tube1-02.czi,6.31,1485.551,1517.982,1221,1766,9373.948,1497,894302,cell,,
12_21_17,135,SUM_N2_daf7Cy5_25_tube1-02.czi,0.587,1036.732,1037.061,1016,1057,608.545,1037,58057,background,,
12_21_17,136,SUM_N2_daf7Cy5_25_tube1-03.czi,5.052,1191.905,1211.723,1077,1259,6021.807,1202,574498,cell,,
12_21_17,137,SUM_N2_daf7Cy5_25_tube1-03.czi,0.891,1022.412,1018.025,1004,1047,910.926,1021,86905,background,,
12_21_17,138,SUM_N2_daf7Cy5_25_tube1-04.czi,6.488,1582.955,1599.586,1374,1794,10270.639,1596,979849,cell,,
12_21_17,139,SUM_N2_daf7Cy5_25_tube1-04.czi,1.038,1145.859,1158.02,1121,1175,1189.062,1145,113440,background,,
12_21_17,140,SUM_N2_daf7Cy5_25_tube1-05.czi,5.031,1404.19,1400.352,1235,1575,7064.889,1408,674011,cell,,
12_21_17,141,SUM_N2_daf7Cy5_25_tube1-05.czi,1.069,1010.373,1017.984,989,1029,1080.239,1010.5,103058,background,,
12_21_17,142,SUM_N2_daf7Cy5_25_tube1-06.czi,4.329,1047.617,1050.033,1013,1080,4535.144,1048,432666,cell,,
12_21_17,143,SUM_N2_daf7Cy5_25_tube1-06.czi,0.073,1014.286,1008.986,995,1028,74.421,1013,7100,background,,
12_21_17,144,SUM_N2_daf7Cy5_25_tube1-07.czi,7.505,1034.652,1037.156,997,1077,7765.077,1035,740811,cell,,
12_21_17,145,SUM_N2_daf7Cy5_25_tube1-07.czi,0.451,1004.093,992.953,986,1026,452.565,1004,43176,background,,
12_21_17,146,SUM_N2_daf7Cy5_25_tube1-08.czi,5.975,1454.768,1488.479,1302,1609,8691.746,1458,829218,cell,,
12_21_17,147,SUM_N2_daf7Cy5_25_tube1-08.czi,0.472,1047.711,1037.973,1033,1071,494.188,1046,47147,background,,
12_21_17,148,SUM_N2_daf7Cy5_25_tube1-09.czi,7.096,1292.733,1296.529,1139,1424,9173.514,1302,875180,cell,,
12_21_17,149,SUM_N2_daf7Cy5_25_tube1-09.czi,0.293,1039.429,1039.059,1020,1054,305.064,1039,29104,background,,
12_21_17,150,SUM_N2_daf7Cy5_25_tube1-10.czi,5.954,1652.951,1667.699,1416,1942,9841.166,1662.5,938876,cell,,
12_21_17,151,SUM_N2_daf7Cy5_25_tube1-10.czi,0.105,1023.3,1015.982,1009,1034,107.261,1022.5,10233,background,,
12_21_17,152,SUM_N2_daf7Cy5_25_tube1-10b.czi,5.985,1389.243,1392.201,1157,1568,8314.819,1399,793258,cell,,
12_21_17,153,SUM_N2_daf7Cy5_25_tube1-10b.czi,0.755,1034.569,1033.035,1015,1053,780.783,1033.5,74489,background,,
12_21_17,154,SUM_N2_daf7Cy5_25_tube1-11.czi,4.602,2287.692,2306.064,1736,2739,10526.9,2314,1004297,cell,,
12_21_17,155,SUM_N2_daf7Cy5_25_tube1-11.czi,0.734,1047.286,1045.098,1020,1070,768.425,1049,73310,background,,
12_21_17,156,SUM_N2_daf7Cy5_25_tube1-12.czi,8.291,1505.826,1500.039,1210,1750,12485.027,1518,1191108,cell,,
12_21_17,157,SUM_N2_daf7Cy5_25_tube1-12.czi,0.755,1068.569,1071.051,1030,1092,806.443,1068.5,76937,background,,
12_21_17,158,SUM_N2_daf7Cy5_25_tube1-13.czi,5.566,1547.697,1558.012,1196,1746,8614.275,1556,821827,cell,,
12_21_17,159,SUM_N2_daf7Cy5_25_tube1-13.czi,1.709,1049.681,1049.01,1026,1077,1793.425,1049,171098,background,,
12_21_17,160,SUM_N2_daf7Cy5_25_tube1-14.czi,8.689,1664.372,1555.648,1250,2222,14462.492,1650,1379764,cell,,
12_21_17,161,SUM_N2_daf7Cy5_25_tube1-14.czi,0.388,1061.108,1063.979,1031,1086,411.528,1062,39261,background,,
12_21_17,162,SUM_N2_daf7Cy5_25_tube1.czi,4.654,1396.48,1407.426,1216,1546,6499.141,1403,620037,cell,,
12_21_17,163,SUM_N2_daf7Cy5_25_tube1.czi,0.398,1027.421,1021.949,999,1049,409.233,1026.5,39042,background,,
12_21_17,164,SUM_N2_daf7Cy5_25_tube2-03.czi,5.681,1133.185,1131.217,1059,1204,6437.811,1133,614186,cell,,
12_21_17,165,SUM_N2_daf7Cy5_25_tube2-03.czi,0.514,1012.347,1015.066,990,1036,519.953,1012,49605,background,,
12_21_17,166,SUM_N2_daf7Cy5_25_tube2-04.czi,6.404,1282.989,1272.502,1104,1445,8216.792,1282,783906,cell,,
12_21_17,167,SUM_N2_daf7Cy5_25_tube2-04.czi,0.514,1011.429,1000.984,992,1032,519.481,1009,49560,background,,
12_21_17,168,SUM_N2_daf7Cy5_25_tube2-05.czi,6.331,1063.833,1053.945,1011,1103,6735.171,1065,642555,cell,,
12_21_17,169,SUM_N2_daf7Cy5_25_tube2-05.czi,0.356,1004.176,997.955,989,1024,357.872,1003.5,34142,background,,
12_21_17,170,SUM_N2_daf7Cy5_25_tube2-06.czi,12.935,1223.158,1195.502,1067,1340,15821.078,1226,1509377,cell,,
12_21_17,171,SUM_N2_daf7Cy5_25_tube2-06.czi,0.933,1011.169,1011.023,990,1042,943.304,1011,89994,background,,
12_21_17,172,SUM_N2_daf7Cy5_25_tube2-07.czi,8.323,1032.54,1026.92,998,1065,8593.416,1032,819837,cell,,
12_21_17,173,SUM_N2_daf7Cy5_25_tube2-07.czi,0.964,1013.88,1013.082,992,1034,977.716,1013,93277,background,,
12_21_17,174,SUM_N2_daf7Cy5_25_tube2-08.czi,6.31,1777.058,1758.545,1294,2117,11213.378,1780,1069789,cell,,
12_21_17,175,SUM_N2_daf7Cy5_25_tube2-08.czi,0.587,1032.482,1032.033,1012,1051,606.051,1032,57819,background,,
12_21_17,176,SUM_N2_daf7Cy5_25_tube1-09.czi,6.488,1302.16,1304.225,1201,1424,8448.767,1306,806037,cell,,
12_21_17,177,SUM_N2_daf7Cy5_25_tube1-09.czi,0.493,1045.872,1045.062,1032,1064,515.246,1045,49156,background,,
12_21_17,178,SUM_N2_daf7Cy5_25_tube2-10.czi,8.302,1460.602,1438.035,1189,1727,12125.384,1454,1156797,cell,,
12_21_17,179,SUM_N2_daf7Cy5_25_tube2-10.czi,1.237,1031.907,1033.979,1003,1054,1276.324,1032,121765,background,,
12_21_17,180,SUM_N2_daf7Cy5_25_tube2-11.czi,7.715,1513.489,1382.541,1227,2048,11676.037,1452,1113928,cell,,
12_21_17,181,SUM_N2_daf7Cy5_25_tube2-11.czi,0.168,1066.375,1065.959,1051,1088,178.841,1066,17062,background,,
12_21_17,182,SUM_N2_daf7Cy5_25_tube2-12.czi,6.195,1242.682,1280.512,1094,1360,7698.14,1244,734425,cell,,
12_21_17,183,SUM_N2_daf7Cy5_25_tube2-12.czi,0.21,1024.2,1026.016,1005,1045,214.71,1025.5,20484,background,,
12_21_17,184,SUM_N2_daf7Cy5_25_tube2-13.czi,5.566,1287.379,1281.461,1150,1434,7165.378,1285,683598,cell,,
12_21_17,185,SUM_N2_daf7Cy5_25_tube2-13.czi,0.398,1013.053,1011.062,997,1029,403.51,1012.5,38496,background,,
12_21_17,186,SUM_N2_daf7Cy5_25_tube2.czi,8.574,1285.996,1279.859,1136,1400,11026.34,1288,1051945,cell,,
12_21_17,187,SUM_N2_daf7Cy5_25_tube2.czi,1.017,1059.186,1056.939,1031,1088,1076.917,1059,102741,background,,
12_21_17,188,SUM_N2_daf7Cy5_25_tube2b.czi,7.809,1295.251,1291.596,1130,1447,10114.596,1294,964962,cell,,
12_21_17,189,SUM_N2_daf7Cy5_25_tube2b.czi,0.556,1030.453,1037.955,1011,1048,572.456,1031,54614,background,,
12_21_17,208,SUM_N2_daf7Cy5_27_tube2-02.czi,6.153,1427.716,1385.438,1212,1692,8784.521,1420,838069,cell,,
12_21_17,209,SUM_N2_daf7Cy5_27_tube2-02.czi,0.692,1060.591,1057.039,1035,1087,733.72,1059.5,69999,background,,
12_21_17,210,SUM_N2_daf7Cy5_27_tube2-03.czi,6.845,1570.982,1604.982,1273,1796,10752.826,1581,1025851,cell,,
12_21_17,211,SUM_N2_daf7Cy5_27_tube2-03.czi,1.195,1064.868,1067.865,1035,1106,1272.445,1064.5,121395,background,,
12_21_17,212,SUM_N2_daf7Cy5_27_tube2-04.czi,6.237,1540.171,1533.537,1342,1679,9605.597,1543,916402,cell,,
12_21_17,213,SUM_N2_daf7Cy5_27_tube2-04.czi,0.304,1138,1125.086,1102,1162,345.922,1140,33002,background,,
12_21_17,214,SUM_N2_daf7Cy5_27_tube2-05.czi,8.385,1843.756,1879.426,1334,2188,15460.795,1876,1475005,cell,,
12_21_17,215,SUM_N2_daf7Cy5_27_tube2-05.czi,0.335,1149.406,1144.072,1125,1170,385.533,1150,36781,background,,
12_21_17,216,SUM_N2_daf7Cy5_27_tube2-06.czi,7.128,1428.003,1420.59,1199,1581,10178.326,1427,971042,cell,,
12_21_17,217,SUM_N2_daf7Cy5_27_tube2-06.czi,0.22,1000.905,994.02,992,1014,220.318,1001,21019,background,,
12_21_17,218,SUM_N2_daf7Cy5_27_tube2-07.czi,6.541,1645.587,1622.129,1332,1846,10763.255,1659,1026846,cell,,
